query_id,query,hotel_id,hotel_name,location,retrieved_by,rank_hybrid,score_hybrid,category_matched,descriptor_matched,location_matched,relevance,note
Q7,nhà nghỉ giá mềm ở vũng tàu,9000003344943,The Song Apartment 5 Star - Windy's Home,Vũng Tàu,hybrid,5,5.303821,False,True,True,1,location_and_intent_match
Q7,nhà nghỉ giá mềm ở vũng tàu,1000000324420,The Imperial Vung Tau Hotel & Resort,Vũng Tàu,hybrid,6,4.981493,False,True,True,1,location_and_intent_match
Q7,nhà nghỉ giá mềm ở vũng tàu,3000020020369,Nolis Hotel Vung Tau,Vũng Tàu,hybrid,7,4.935605,False,True,True,1,location_and_intent_match
Q7,nhà nghỉ giá mềm ở vũng tàu,1000000427730,Corvin Hotel,Vũng Tàu,hybrid,8,4.878964,False,True,True,1,location_and_intent_match
Q7,nhà nghỉ giá mềm ở vũng tàu,1000000592992,The Malibu Hotel,Vũng Tàu,hybrid,9,4.861551,False,True,True,1,location_and_intent_match
Q7,nhà nghỉ giá mềm ở vũng tàu,1000000421574,Seaside Resort Vung Tau,Vũng Tàu,hybrid,10,4.850273,False,True,True,1,location_and_intent_match
Q8,khách sạn 4 sao giá tốt ở cần thơ,9000001207029,Khách sạn Goldient Boutique,Lâm Đồng,hybrid,1,4.487578,False,True,False,1,intent_match_without_location
Q8,khách sạn 4 sao giá tốt ở cần thơ,9000003127934,Charmant Suites a Boutique Hotel Can Tho,TP Cần Thơ,hybrid,2,3.584138,False,True,False,1,intent_match_without_location
Q8,khách sạn 4 sao giá tốt ở cần thơ,9000001152735,Lion 5 Hotel Can Tho,TP Cần Thơ,hybrid,3,3.551989,False,True,False,1,intent_match_without_location
Q8,khách sạn 4 sao giá tốt ở cần thơ,1000000615976,Flora Hotel Hue,Thành Phố Huế,hybrid,4,3.327734,False,True,False,1,intent_match_without_location
Q8,khách sạn 4 sao giá tốt ở cần thơ,3000020003605,Majestic Premium Hotel,Khánh Hòa,hybrid,5,3.308257,False,True,False,1,intent_match_without_location
Q8,khách sạn 4 sao giá tốt ở cần thơ,9000005662131,Elegant Hotel Hue,Thành Phố Huế,hybrid,6,3.306257,False,True,False,1,intent_match_without_location
Q8,khách sạn 4 sao giá tốt ở cần thơ,9000000416386,RHM Luxury Hotel And Suite,Thành Phố Đà Nẵng,hybrid,7,3.238793,False,True,False,1,intent_match_without_location
Q8,khách sạn 4 sao giá tốt ở cần thơ,3000020011694,Orchide'es Ocean Hotel,Thành Phố Đà Nẵng,hybrid,8,3.217748,False,True,False,1,intent_match_without_location
Q8,khách sạn 4 sao giá tốt ở cần thơ,9000002456808,Khách sạn Charm Hill Sapa,Lào Cai,hybrid,9,3.215324,False,True,False,1,intent_match_without_location
Q8,khách sạn 4 sao giá tốt ở cần thơ,1000000429469,Moonlight Hotel Hue,Thành Phố Huế,hybrid,10,3.208675,False,True,False,1,intent_match_without_location
Q9,resort xa hoa ở hội an,9000000928394,Hoi An Memories Resort & Spa,Hội An,hybrid,1,8.877481,True,True,True,1,location_and_intent_match
Q9,resort xa hoa ở hội an,9000005501765,Nature Resort Hoi An,Hội An,hybrid,2,8.483883,True,True,True,1,location_and_intent_match
Q9,resort xa hoa ở hội an,3000020009874,Sol An Bang Beach Resort & Spa,Hội An,hybrid,3,8.078734,True,True,True,1,location_and_intent_match
Q9,resort xa hoa ở hội an,1000000549545,Grand Signature By M Village Hoi An Resort,Hội An,hybrid,4,7.999419,True,True,True,1,location_and_intent_match
Q9,resort xa hoa ở hội an,1000000227349,Hadana Boutique Resort HoiAn,Hội An,hybrid,5,7.619275,True,True,True,1,location_and_intent_match
Q9,resort xa hoa ở hội an,9000001207182,Wyndham Hoi An Royal Beachfront Resort & Villas,Hội An,hybrid,6,6.900436,True,True,True,1,location_and_intent_match
Q9,resort xa hoa ở hội an,3000020004064,Vinpearl Resort & Golf Nam Hoi An,Hội An,hybrid,7,6.861880,True,True,True,1,location_and_intent_match
Q9,resort xa hoa ở hội an,9000000133984,The Nam An Villa Hoi An,Hội An,hybrid,8,6.480974,True,True,True,1,location_and_intent_match
Q9,resort xa hoa ở hội an,9000001042154,Bliss Hoi An Beach Resort & Wellness,Hội An,hybrid,9,4.539771,True,True,True,1,location_and_intent_match
Q9,resort xa hoa ở hội an,3000020018720,The Pearl Hoi An,Hội An,hybrid,10,2.928299,True,True,True,1,location_and_intent_match
Q10,khách sạn 3 sao sạch sẽ giá rẻ ở huế,3000020010460,Amona Hotel,Thành Phố Huế,hybrid,1,9.788402,True,True,True,1,location_and_intent_match
Q10,khách sạn 3 sao sạch sẽ giá rẻ ở huế,1000000615976,Flora Hotel Hue,Thành Phố Huế,hybrid,2,8.942960,True,True,True,1,location_and_intent_match
Q10,khách sạn 3 sao sạch sẽ giá rẻ ở huế,9000005662131,Elegant Hotel Hue,Thành Phố Huế,hybrid,3,8.858820,True,True,True,1,location_and_intent_match
Q10,khách sạn 3 sao sạch sẽ giá rẻ ở huế,3000020006424,SH Hotel,Thành Phố Huế,hybrid,4,8.302306,True,True,True,1,location_and_intent_match
Q10,khách sạn 3 sao sạch sẽ giá rẻ ở huế,1000000617902,Purple Hue - Charming Riverside Hotel,Thành Phố Huế,hybrid,5,7.495860,True,True,True,1,location_and_intent_match
Q10,khách sạn 3 sao sạch sẽ giá rẻ ở huế,1000000328519,Shine Hue Hotel 2,Thành phố Huế,hybrid,6,7.405861,True,True,True,1,location_and_intent_match
Q10,khách sạn 3 sao sạch sẽ giá rẻ ở huế,3000020015989,The Sunriver Boutique Hotel Hue,Thành Phố Huế,hybrid,7,7.102554,True,True,True,1,location_and_intent_match
Q10,khách sạn 3 sao sạch sẽ giá rẻ ở huế,9000001072393,Sunflower Boutique Hotel,Thành Phố Huế,hybrid,8,7.082285,True,True,True,1,location_and_intent_match
Q10,khách sạn 3 sao sạch sẽ giá rẻ ở huế,1000000246696,Hotel Saigon Morin,Thành Phố Huế,hybrid,9,6.811340,True,True,True,1,location_and_intent_match
Q10,khách sạn 3 sao sạch sẽ giá rẻ ở huế,1000000429469,Moonlight Hotel Hue,Thành Phố Huế,hybrid,10,6.323353,True,True,True,1,location_and_intent_match
Q11,khách sạn có hồ bơi ngoài trời ở đà nẵng,9000000416386,RHM Luxury Hotel And Suite,Thành Phố Đà Nẵng,hybrid,1,7.573153,False,True,True,1,location_and_intent_match
Q11,khách sạn có hồ bơi ngoài trời ở đà nẵng,9000000809267,Gold Plaza Hotel Da Nang,Thành Phố Đà Nẵng,hybrid,2,7.425582,False,True,True,1,location_and_intent_match
Q11,khách sạn có hồ bơi ngoài trời ở đà nẵng,9000000303891,Glamour Hotel Da Nang,Thành Phố Đà Nẵng,hybrid,3,7.316218,False,True,True,1,location_and_intent_match
Q11,khách sạn có hồ bơi ngoài trời ở đà nẵng,3000010040227,Muong Thanh Luxury Da Nang Hotel,Thành Phố Đà Nẵng,hybrid,4,7.200124,False,True,True,1,location_and_intent_match
Q11,khách sạn có hồ bơi ngoài trời ở đà nẵng,1000000441652,Muong Thanh Grand Da Nang Hotel,Thành Phố Đà Nẵng,hybrid,5,6.970046,False,True,True,1,location_and_intent_match
Q11,khách sạn có hồ bơi ngoài trời ở đà nẵng,9000000985575,Record Hotel,Thành Phố Đà Nẵng,hybrid,6,6.798588,False,True,True,1,location_and_intent_match
Q11,khách sạn có hồ bơi ngoài trời ở đà nẵng,1000000413455,Quoc Cuong Center Da Nang Hotel by Haviland,Thành Phố Đà Nẵng,hybrid,7,6.565198,False,True,True,1,location_and_intent_match
Q11,khách sạn có hồ bơi ngoài trời ở đà nẵng,3000020000695,Pariat River Front Hotel Đà Nẵng,Thành Phố Đà Nẵng,hybrid,8,6.212798,False,True,True,1,location_and_intent_match
Q11,khách sạn có hồ bơi ngoài trời ở đà nẵng,9000000985172,Leaf Beachfront Hotel Da Nang,Thành Phố Đà Nẵng,hybrid,9,5.781885,False,True,True,1,location_and_intent_match
Q11,khách sạn có hồ bơi ngoài trời ở đà nẵng,1000000501562,M Village Hotel Da Nang Centre - Free Laundry and Kitchen,Thành Phố Đà Nẵng,hybrid,10,5.776274,False,True,True,1,location_and_intent_match
Q12,resort có bãi biển riêng tại nha trang,1000000192322,Vinpearl Resort Nha Trang,Khánh Hòa,hybrid,1,9.902770,True,True,True,1,location_and_intent_match
Q12,resort có bãi biển riêng tại nha trang,1000000488027,Vinpearl Resort & Spa Nha Trang Bay,Khánh Hòa,hybrid,2,8.837466,True,True,True,1,location_and_intent_match
Q12,resort có bãi biển riêng tại nha trang,3000010036554,Duyen Ha Resort Cam Ranh,Khánh Hòa,hybrid,3,8.761013,True,True,True,1,location_and_intent_match
Q12,resort có bãi biển riêng tại nha trang,9000001195418,Annova Nha Trang,Khánh Hòa,hybrid,4,5.870068,True,True,True,1,location_and_intent_match
Q12,resort có bãi biển riêng tại nha trang,3000020011428,Comodo Nha Trang Hotel,Khánh Hòa,hybrid,5,5.864801,True,True,True,1,location_and_intent_match
Q12,resort có bãi biển riêng tại nha trang,3000020017982,Muong Thanh Luxury Khanh Hoa,Khánh Hòa,hybrid,6,5.779471,True,True,True,1,location_and_intent_match
Q12,resort có bãi biển riêng tại nha trang,3000020002678,Melissa Hotel Nha Trang,Khánh Hòa,hybrid,7,5.765654,True,True,True,1,location_and_intent_match
Q12,resort có bãi biển riêng tại nha trang,3000020021002,Muong Thanh Luxury Vien Trieu Nha Trang,Khánh Hòa,hybrid,8,5.731627,True,True,True,1,location_and_intent_match
Q12,resort có bãi biển riêng tại nha trang,9000000928831,La Vague Hotel Nha Trang,Khánh Hòa,hybrid,9,5.693851,True,True,True,1,location_and_intent_match
Q12,resort có bãi biển riêng tại nha trang,3000020019413,Vesna Hotel Nha Trang,Khánh Hòa,hybrid,10,5.452627,True,True,True,1,location_and_intent_match
Q13,homestay có bếp nấu ăn ở đà lạt,3000020020070,New Life Hotel Dalat,Lâm Đồng,hybrid,1,5.203308,False,True,True,1,location_and_intent_match
Q13,homestay có bếp nấu ăn ở đà lạt,9000000966417,The Manor Villas Da Lat,Lâm Đồng,hybrid,2,4.542138,False,True,True,1,location_and_intent_match
Q13,homestay có bếp nấu ăn ở đà lạt,3000020014998,Colline Dalat,Lâm Đồng,hybrid,3,4.269716,False,True,True,1,location_and_intent_match
Q13,homestay có bếp nấu ăn ở đà lạt,9000001207493,La Paix Dalat,Lâm Đồng,hybrid,4,4.164707,False,True,True,1,location_and_intent_match
Q13,homestay có bếp nấu ăn ở đà lạt,9000001135521,GreenEco Da Lat Hotel,Lâm Đồng,hybrid,5,4.128868,False,True,True,1,location_and_intent_match
Q13,homestay có bếp nấu ăn ở đà lạt,1000000490882,Terracotta Hotel & Resort Dalat,Lâm Đồng,hybrid,6,3.986385,False,True,True,1,location_and_intent_match
Q13,homestay có bếp nấu ăn ở đà lạt,9000001135927,TTR Central Apart Hotel,Lâm Đồng,hybrid,7,3.771020,False,True,True,1,location_and_intent_match
Q13,homestay có bếp nấu ăn ở đà lạt,3000020015279,Dalat Wonder Resort,Lâm Đồng,hybrid,8,3.618522,False,True,True,1,location_and_intent_match
Q13,homestay có bếp nấu ăn ở đà lạt,3000020015788,Minh Chien Hotel,Lâm Đồng,hybrid,9,3.566836,False,True,True,1,location_and_intent_match
Q13,homestay có bếp nấu ăn ở đà lạt,9000001207029,Khách sạn Goldient Boutique,Lâm Đồng,hybrid,10,3.428143,False,True,True,1,location_and_intent_match
Q14,khách sạn có bồn tắm massage ở hà nội,1000000448912,Hanoi Brilliant Hotel and Spa,Hà Nội,hybrid,1,8.154297,True,True,True,1,location_and_intent_match
Q14,khách sạn có bồn tắm massage ở hà nội,3000010024108,Eternity Hotel Hanoi,Hà Nội,hybrid,2,3.803381,True,True,True,1,location_and_intent_match
Q14,khách sạn có bồn tắm massage ở hà nội,3000020015251,Granda Suites Hanoi,Hà Nội,hybrid,3,2.349045,True,True,True,1,location_and_intent_match
Q14,khách sạn có bồn tắm massage ở hà nội,1000000447899,Muong Thanh Grand Hanoi Hotel,Hà Nội,hybrid,4,2.308893,True,True,True,1,location_and_intent_match
Q14,khách sạn có bồn tắm massage ở hà nội,9000001000715,FTE Ba Dinh Hotel,Hà Nội,hybrid,5,1.522268,True,True,True,1,location_and_intent_match
Q14,khách sạn có bồn tắm massage ở hà nội,3000010020731,M Village Hotel Ho Guom,Hà Nội,hybrid,6,0.995137,True,True,True,1,location_and_intent_match
Q14,khách sạn có bồn tắm massage ở hà nội,1000000171688,Melia Hanoi Hotel,Hà Nội,hybrid,7,0.993698,True,True,True,1,location_and_intent_match
Q14,khách sạn có bồn tắm massage ở hà nội,3000010037760,Signature By M Village Tho Nhuom,Hà Nội,hybrid,8,0.803390,True,True,True,1,location_and_intent_match
Q14,khách sạn có bồn tắm massage ở hà nội,3000020019407,Western Hanoi Boutique Hotel,Hà Nội,hybrid,9,0.667643,True,True,True,1,location_and_intent_match
Q14,khách sạn có bồn tắm massage ở hà nội,3000020006874,Melia Bavi Mountain Retreat,Hà Nội,hybrid,10,0.476059,True,True,True,1,location_and_intent_match
Q15,chỗ nghỉ có chỗ đậu xe ô tô miễn phí ở vũng tàu,9000000730242,Fusion Suites Vung Tau,Vũng Tàu,hybrid,1,5.472454,False,True,True,1,location_and_intent_match
Q15,chỗ nghỉ có chỗ đậu xe ô tô miễn phí ở vũng tàu,9000000961953,Premier Pearl Hotel Vung Tau,Vũng Tàu,hybrid,2,5.263228,False,True,True,1,location_and_intent_match
Q15,chỗ nghỉ có chỗ đậu xe ô tô miễn phí ở vũng tàu,9000001203728,IXORA Ho Tram by Fusion,Vũng Tàu,hybrid,3,5.175021,False,True,True,1,location_and_intent_match
Q15,chỗ nghỉ có chỗ đậu xe ô tô miễn phí ở vũng tàu,9000003303985,Victory Vung Tau Hotel (New Wing),Vũng Tàu,hybrid,4,5.041511,False,True,True,1,location_and_intent_match
Q15,chỗ nghỉ có chỗ đậu xe ô tô miễn phí ở vũng tàu,1000000592992,The Malibu Hotel,Vũng Tàu,hybrid,5,4.987832,False,True,True,1,location_and_intent_match
Q15,chỗ nghỉ có chỗ đậu xe ô tô miễn phí ở vũng tàu,3000020020369,Nolis Hotel Vung Tau,Vũng Tàu,hybrid,6,4.839101,False,True,True,1,location_and_intent_match
Q15,chỗ nghỉ có chỗ đậu xe ô tô miễn phí ở vũng tàu,9000003344943,The Song Apartment 5 Star - Windy's Home,Vũng Tàu,hybrid,7,4.735146,False,True,True,1,location_and_intent_match
Q15,chỗ nghỉ có chỗ đậu xe ô tô miễn phí ở vũng tàu,9000002809258,Emerald Ho Tram Resort,Vũng Tàu,hybrid,8,4.706130,False,True,True,1,location_and_intent_match
Q15,chỗ nghỉ có chỗ đậu xe ô tô miễn phí ở vũng tàu,9000001202368,Palace Long Hai Resort,Vũng Tàu,hybrid,9,4.704049,False,True,True,1,location_and_intent_match
Q15,chỗ nghỉ có chỗ đậu xe ô tô miễn phí ở vũng tàu,1000000324420,The Imperial Vung Tau Hotel & Resort,Vũng Tàu,hybrid,10,4.685239,False,True,True,1,location_and_intent_match
Q16,khách sạn có phòng gym và spa ở phú quốc,3000020012744,Wyndham Grand Phu Quoc,Phú Quốc,hybrid,1,1.458052,True,True,True,1,location_and_intent_match
Q16,khách sạn có phòng gym và spa ở phú quốc,3000020021019,VARIA Hotel,Phú Quốc,hybrid,2,1.321833,True,True,True,1,location_and_intent_match
Q16,khách sạn có phòng gym và spa ở phú quốc,9000001152652,Wyndham Garden Grandworld Phu Quoc,Phú Quốc,hybrid,3,0.369321,True,True,True,1,location_and_intent_match
Q16,khách sạn có phòng gym và spa ở phú quốc,9000001086188,La Festa Phu Quoc  Curio Collection by Hilton,Phú Quốc,hybrid,4,0.296102,True,True,True,1,location_and_intent_match
Q16,khách sạn có phòng gym và spa ở phú quốc,3000020018435,Best Western Premier Sonasea Phu Quoc,Phú Quốc,hybrid,5,0.191784,True,True,True,1,location_and_intent_match
Q16,khách sạn có phòng gym và spa ở phú quốc,1000000626112,SOL by Melia Phu Quoc,Phú Quốc,hybrid,6,0.096808,True,True,True,1,location_and_intent_match
Q16,khách sạn có phòng gym và spa ở phú quốc,9000000985383,The Tahiti Beach Hotel Phu Quoc,Phú Quốc,hybrid,7,0.090215,True,True,True,1,location_and_intent_match
Q16,khách sạn có phòng gym và spa ở phú quốc,9000000890249,Vinholidays Fiesta Phu Quoc,Phú Quốc,hybrid,8,0.004495,True,True,True,1,location_and_intent_match
Q17,khách sạn cho phép mang theo thú cưng ở đà lạt,9000001207029,Khách sạn Goldient Boutique,Lâm Đồng,hybrid,1,9.181819,False,True,True,1,location_and_intent_match
Q17,khách sạn cho phép mang theo thú cưng ở đà lạt,9000001136452,Khách sạn Bazan Hotel,Lâm Đồng,hybrid,2,7.719229,False,True,True,1,location_and_intent_match
Q17,khách sạn cho phép mang theo thú cưng ở đà lạt,9000001135521,GreenEco Da Lat Hotel,Lâm Đồng,hybrid,3,6.509211,False,True,True,1,location_and_intent_match
Q17,khách sạn cho phép mang theo thú cưng ở đà lạt,3000020015784,Larita Da Lat Boutique Hotel,Lâm Đồng,hybrid,4,6.180645,False,True,True,1,location_and_intent_match
