query_id	query	hotel_id	hotel_name	location	retrieved_by	rank_bm25	rank_vector	rank_hybrid	score_bm25	score_vector	score_hybrid	top_review_1	top_review_2	top_review_3	relevance	note
Q1	khách sạn giá rẻ ở đà lạt	3000020010764	The Luxe Hotel Dalat	Lâm Đồng	vector		4			20.246361		giá rẻ, phòng ổn như hình, view thoáng, có chỗ đậu xe hơi, nhân viên dễ thương	Nhân viên thân thiện, trừ khoảng cách âm kém thì còn lại ok. Gần trung tâm nên dễ di chuyển. Giá hợp lý.	Phòng ốc sạch sẽ, thoáng mát và khá dễ chịu. Nhân viên cực kỳ thân thiện, dễ thương và luôn hỗ trợ khách với thái độ nhiệt tình. Giá cả hợp lý so với chất lượng dịch vụ, vị trí cũng rất thuận tiện để di chuyển. Giường hơi nhỏ ạ, chắc khoảng 1,4m, Nếu giường rộng hơn một chút thì trải nghiệm sẽ gần như hoàn hảo. Highly recommended.	1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	9000000975119	TTR Skypool View Hotel	Lâm Đồng	bm25	9			4.556398			Đẹp sạch sẽ giá rẻ okelaaaaa 9₫	Mình book phòng 2 người qua trevaloka một trãi nghiệm vô cùng tồi tệ khi ở tại đây: Nhà vệ sinh có mùi rất rất hôi, ở phòng dưới hầm ẩm sàn và chăn ga đều ẩm, nhà vệ sinh , phòng tắm bên trong không sạch sẽ, mốc meo bao quanh các mép tường có mùi rất rất hôi. không có tiện nghi đầy đủ như bàn là, dầu gội. KS xây dựng quá lâu rồi nên rất là cũ, không như hình, cần thay đổi sửa sang lại. Vô mở cửa phòng mà giật mình khi nhìn lên trần là một thảm mốc đen thui. QUÁ TỆ KHÔNG ĐÁNG ĐƯỢC 1 SAO, THUA CẢ NHÀ NGHĨ BÌNH DÂN.		1	location_or_generic_match
Q1	khách sạn giá rẻ ở đà lạt	3000020015784	Larita Da Lat Boutique Hotel	Lâm Đồng	bm25	10			4.167178			Giá cả hợp lý, gần Hồ Xuân Hương nên rất tiện ra chạy bộ tận hưởng không khí Đà Lạt, Không gian phòng đẹp có view lan can rất chill,	Mình đã đặt phòng tại Larita qua app ngày 5-9/1/2025. Là một người cùng trong lĩnh vực, mình biết các bạn Larita đã cố gắng như thế nào để cân bằng được giữa chất lượng trải nghiệm của khách hàng và giá thành. Cơ sở, phòng ốc của Larita tốt so với giá thành và có một vị trí phù hợp cho khách du lịch. Chất lượng dịch vụ và vệ sinh của Larita là rất tốt so với số lượng nhân sự mà mình thấy tại cơ sở. Bạn trực lễ tân nam mình không rõ là nhân viên hay chủ cơ sở, nhưng bạn có sự linh hoạt và linh động cho khách hàng rất nhiệt tình, hợp lý và khéo léo. Larita có hỗ trợ chúng mình thuê xe máy tay ga rất mới, có sẵn 2 mũ bảo hiểm và mình thấy xe đã được rửa trước giao cho khách. Nói chung mình thấy mức giá phòng và giá các dịch vụ của Larita là rất tốt so với trải nghiệm. Chúc các bạn ngày càng phát triển hơn nữa		1	location_or_generic_match
Q2	homestay bình dân tại sapa	3000020004882	Golden Town Sapa	Lào Cai	bm25,hybrid,vector	1	1	1	8.396111	8.511801	8.465525	Phòng bị dột nước ngập hay cúp nước nóng tiết kiệm kinh khủng	Sạch sẽ, cơm trưa rất ngon giá rẻ, tôi đã quay lai đây lân thứ 2 vẫn rất là ưng ý	Phòng sạch sẽ, nhân viên thân thiện, nhiệt tình, dễ thương! Vị trí gần chợ, nhà thờ... Đồ ăn nấu rất ngon, hợp khẩu vị với gia đình mình (có cả người Nam và Bắc)! Giá phòng hợp lý! Sẽ quay lại nếu có dịp	0	descriptor_miss_0/1
Q2	homestay bình dân tại sapa	3000020016046	HillSide Sapa	Lào Cai	bm25,hybrid,vector	2	2	2	7.927721	7.147502	7.459589	Phòng ốc xinh xắn, sạch sẽ giá cả hợp lý, nhân viên thân thiên ạ.	Kỳ nghỉ ok. Chất lượng đáp ứng cơ bản, hợp lý với giá tiền chi trả. Nhà wc tuy có máy hút ẩm nhưng mùi thoát nước vẫn hôi. Thuê xe máy chưa thống nhất về giá và thời gian trả lại xe khi mình thuê 1,5 ngày. View thoáng, di chuyển vào trung tâm gần.	Phòng nghỉ giá hợp lý, đệm ngủ có sưởi điện rất ấm, mỗi tội nước chảy hơi chậm cũng đã báo lễ tân khắc phục tuy nhiên nước cũng chưa được chảy to lắm. Thêm điểm nữa là vị trí nằm gần trung tâm tuy nhiên nằm giữa con dốc nên xe cộ đi lại rất nhanh và nguy hiểm	0	descriptor_miss_0/1
Q2	homestay bình dân tại sapa	9000001099737	Sapa Grand Hills Hotel & Apartments	Lào Cai	bm25,hybrid,vector	3	3	3	3.224972	3.365134	3.245337	Cũng ok nha mọi người 7/10 điểm so với giá Địa điểm cũng gần trung tâm, đi 5p là tới khách sạn kiểu bình dân không phải kiểu sang chảnh So với giá 1 triệu có bồn tắm là đắt Mình săn sale được nên rẻ hơn tầm 1 triệu 7 2 đêm Ăn sáng được mỗi phở ok, sạch sẽ Trà sữa/ súp/ bánh mì không hấp dẫn lắm chị chủ cũng thoải mái dễ tính nhân viên kiểu đi làm thêm không phải kiểu học ngành khách sạn ra nên sẽ khác với những khách sạn lớn 5 sao Quen đi khách sạn 5 sao (đắt hơn vài trăm nghìn) được phục vụ tận nơi h đến sapa phải tự khênh vali các thứ nên hơi bất ngờ nhưng ksao thông cảm được Nói chung đi núi moi nguoi nên đi với tâm thế trải nghiệm, kp hưởng thụ nha khách sạn có tư vấn đi trung quốc, xuống lào cai cũng có xe điện trở sang trung quốc, moi nguoi có nhu cầu thì cbi đặt trước từ nhà nhé	Phòng đẹp rộng, giá hợp lý, bữa sáng chu đáo.	Quá hợp lý để nghỉ ngơi và rất thuận tiện đi lại xuống thung lũng hoa	1	descriptor_hit_1/1
Q2	homestay bình dân tại sapa	3000020006744	Sapa Clover Hotel	Lào Cai	bm25,hybrid,vector	4	5	4	3.075249	2.693680	2.846308	Dịch vụ rất thân thiện. Phòng đẹp và ấn nữa. Ở đây không thể chê được điểm nào. Ăn sáng ngon, đầy đặn. Ở khách sạn có bán quần áo đồ lưu niệm giá cũng hợp lý. Nếu đi sapa những lần tới mình cũng chỉ ở Sapa Clover.	Khách sạn sạch sẽ, view y ảnh, nhân viên và chủ khách sạn chăm sóc rất nhiệt tình. Giá rẻ nhưng chất lượng 10 điểm	Khách sạn mới nên phòng rất đẹp, phuc vu chu dao, mọi người có thể đặt ăn tại khách sạn giá thành hợp lý và đồ ăn cũng ngon	0	descriptor_miss_0/1
Q2	homestay bình dân tại sapa	9000000967335	Cat Cat Galerie d'Art	Lào Cai	bm25,hybrid,vector	9	6	5	1.652291	2.331061	2.059553	Khách sạn đẹp sạch sẽ nhân viên nhiệt tình. Đồ ăn ở đây rất ngon sạch sẽ giá rẻ hơn ngoài các tiệm khu vực Sapa.			0	descriptor_miss_0/1
Q2	homestay bình dân tại sapa	3000020005833	Peace Valley Hotel	Lào Cai	hybrid,vector		4	6		2.894597	1.973338	phòng ok, giá rẻ, chủ dê thương, có nóng lạnh, phong ấm, gần chợ đêm, sẽ quay lại, phong sach	Phòng sạch sẽ, giá cả hợp lý, gần trung tâm	Nhà nghỉ giá rẻ, phải chăng. Chủ nhà thân thiện, nhiệt tình, vui tinh. Phòng ốc sạch sẽ đầy đủ tiện nghi. Lần tới quay lại vẫn sẽ chọn peace valley ❤️❤️👍👍	0	descriptor_miss_0/1
Q2	homestay bình dân tại sapa	3000020007269	Sapa Green Hotel & Spa	Lào Cai	bm25,hybrid,vector	6	7	7	1.841666	1.710719	1.763098	Khách sạn sạch, phòng đẹp và hợp lý, thái độ nhiệt tình.	Phòng đẹp dù là phòng có mức giá rẻ nhất, sạch sẽ, thích nhà tắm lắm! Cảm ơn! Có dịp sẽ tiếp tục đến trải nghiệm.	Nhân viên nhiệt tình , khách sạn rất gần những chỗ checkin, giá rẻ , phòng sạch sẽ, buffet sáng tạm ổn không nhiều lựa chọn sẽ ủng hộ tiếp lần đi du lịch sau	0	descriptor_miss_0/1
Q2	homestay bình dân tại sapa	1000000541007	Sapa Mountain City Hotel	Lào Cai	bm25,hybrid,vector	5	8	8	1.880889	1.680374	1.760580	Tuyệt vời... gia rẻ hợp lý ...lần sau sẽ ghe	Anh chị chủ rất dễ thương và nhiệt tình luôn Phòng khách sạn sạch sẽ, giá cả hợp lý lắm nè	Vị trí khá gần với trung tâm. Với giá cả như này thì khá hợp lý. Chị chủ nhà rất thân thiện, hướng dẫn rất nhiệt tình. Nếu có quay lại mình vẫn chọn ở đây	0	descriptor_miss_0/1
Q2	homestay bình dân tại sapa	1000000475185	Sapa Panorama Hotel	Lào Cai	bm25,hybrid,vector	7	9	9	1.789211	1.653826	1.707980	nhân viên thân thiện, giá cả hợp lý . có dịp quay lại sapa sẽ đặt tiếp .	Những bạn nhân viên ở đây rất chu đáo nhiệt tình. Khách sạn ngay trung tâm di chuyển thuận tiện và dễ dàng. Còn có dịch vụ tắm lá thuốc, masage, tẩm quất giá rẻ so mới mặt bằng chung và vô cùng sảng khoái.	Đến 6h sáng gửi đồ, vệ sinh, nghỉ ngơi chút. gọi thuê 2 xe máy xe số 120.000 đ/ngày đi chơi ăn sáng. đi Fanxifang. chiều 14h về nhận phòng. phòng tầng 6 view đẹp. Nói chung giá cả hợp lý với dịch vụ, lại gần trung tâm. đi bộ tí ra nhà thờ đá.	0	descriptor_miss_0/1
Q2	homestay bình dân tại sapa	3000010033290	Sapa Center View Hotel	Lào Cai	bm25,hybrid,vector	8	10	10	1.660443	1.473926	1.548533	Giường có chế độ sửoi ấm, quá đỉnh, giá rẻ	Phòng giá rẻ, nhưng chất lượng không tệ. Chi phí chia trên đầu người như giá ở dorm, nhưng riêng tư và thoải mái hơn. Nhân viên rất nhiệt tình. Địa điểm thuận tiện cho việc đi lại vào trung tâm.	Đêm đến khách sạn, không có nước nóng, nước lạnh thì rất yếu, trời lạnh nên không thể tắm được. Mình đợi đến sáng hôm sau thì mất nước luôn. Hỏi lễ tân thì trả lời là vì cuối tuần khách lên Sapa đông nên tình hình chung khách sạn nào cũng mất nước. Mình check out luôn và đặt 1 khách sạn khác thì nước đầy đủ, rất mạnh là đằng khác. Sàn nhà dường như ko được lau, cực kì bẩn. Mình lỡ tay làm đổ nước uống ra sàn, lấy giấy lau mới thấy tờ giấy trở nên đen kịt. Ăn sáng có món cơm chiên và mì tôm xào chay (ko rau, ko thịt). Giá rẻ nên bữa sáng thì mình không quan tâm lắm nhưng sàn nhà siêu bẩn và không có nước thật sự không thoải mái À, không có thang máy, cầu thang bộ thôi nên nếu có hành lý nặng nên xin ở tầng thấp chứ vác lên vác xuống cũng oải lắm	0	descriptor_miss_0/1
Q2	homestay bình dân tại sapa	3000010028015	Swan Sapa Hotel	Lào Cai	bm25	10			1.309403			Gần trung tâm phòng sạch sẽ đẹp giá cả hợp lý	Nhân viên khách sạn nhiệt tình. Khách sạn có đệm sưởi cho trời lạnh. Vị trí gần trung tâm. Giá cả hợp lý.		0	descriptor_miss_0/1
Q3	resort 5 sao sang trọng ở phú quốc	3000020017782	Radisson Blu Resort Phu Quoc	Phú Quốc	bm25,hybrid,vector	1	2	1	20.573008	22.515506	20.152108	Tuyệt vời, nhân viên rất nhiệt tình. Đúng đẳng cấp 5 sao.	Dịch vụ đẳng cấp quốc tế, sẽ tiếp tục ủng hộ	Gia đình tôi đã có một kỳ nghỉ thật thoải mái và đầy đủ tiện nghi như gia đình mong đợi, nhân viên của khách sạn rất nhiệt tình và chu đáo. Nếu có dịp du lịch trong thời gian tới đến Phú Quốc tôi sẽ chọn Radisson và giới thiệu cho bạn bè của mình nếu đến Phú Quốc tham quan du lịch.	0	descriptor_miss_0/1
Q3	resort 5 sao sang trọng ở phú quốc	3000010033024	Tom Hill Boutique Resort and Spa - Sea View	Phú Quốc	bm25,hybrid,vector	2	1	2	15.807053	24.834697	18.791992	Khách sạn đẹp y hình , phục vụ tốt , lần sau nếu quay lại phú quốc chắc chắn sẽ ở đây !	Tất cả đều tốt từ nhân viên đến dịch vụ. Nơi đáng để ở khi đến phú quốc.	Nhân viên thân thiện, cực kỳ dễ thương, buffet sáng ngon, phòng sạch, sẽ ghé lại khi có dịp đến Phú Quốc	0	descriptor_miss_0/1
Q3	resort 5 sao sang trọng ở phú quốc	9000000968197	New World Phu Quoc Resort	Phú Quốc	bm25,hybrid,vector	8	3	3	8.566861	22.504562	16.669578	Chuẩn 5 sao về nhân viên, phòng ốc, trang thiết bị, ăn sáng , cảnh quan . Được chèo thuyền kayak va đạp xe . Sẽ quay lại nếu có dịp ạ. Cám ơn !	Phục vụ chuẩn 5 sao, mình đi vào dịp Tết đông full phòng nên một vài dịch vụ không còn slot để sử dụng nhưng nói chung vẫn rất ok. Bufet sáng ăn bình thường.	Đã đến đây trải nghiệm và rất hài lòng	0	descriptor_miss_0/1
Q3	resort 5 sao sang trọng ở phú quốc	1000000327239	L'Azure Resort and Spa	Phú Quốc	bm25,hybrid,vector	6	5	4	9.777288	20.996874	16.369522	Resort rộng rãi nhiều cây cối mát mẻ, biển sạch sẽ ngay sát, đi vài bước. Phòng rộng thoáng tiện nghi tốt. Ăn sáng chấp nhận được. Nhà mình ở 3 đêm. Năm tới đến Phú Quốc chắc ở đây tiếp	thức ăn ngon, tuyệt hảo. dịch vụ chưa được 5 sao! khung cảnh đẹp phòng có nhiều muỗi bảo vệ khu vực xung quanh hơi nghiêm khắc với khách.	Mình có trải nghiệm tuyệt vời tại đây, khách sạn rất đẹp, phòng sạch sẽ đầy đủ tiện nghi tư trang cá nhân cho khách. Khách sạn nằm sát trung tâm đi đâu cũng tiện có bãi biển riêng, nhânviên rất thân thiện. Thank add mình có kỳ nghỉ vu vẻ	0	descriptor_miss_0/1
Q3	resort 5 sao sang trọng ở phú quốc	9000000434682	Sunset Beach Resort & Spa - Beachfront Pirate Fire Show	Phú Quốc	bm25,hybrid	3		5	14.818189		16.341763	Vì dự báo thời tiết Phú Quốc sai tưởng mưa bão nhưng không, thời tiết nắng đẹp, mưa cũng có nhưng 5-10 phút à. Khách không đông nên mình được khách sạn free upgrade lên phòng view biển 1 phần, phòng khá rộng và sạch ~ 30m2. Hồ bơi đẹp và sạch sẽ, bãi biển riêng thoáng và quán bar cũng khá chill. Tiếp tân nice, nhân viên khách sạn nhiệt tình 100/10 điểm nha.	Mình có kỳ nghỉ ngắn ngày rất hoàn hảo tại resort, và mình hài lòng về tất cả dịch vụ mà khách sạn cung cấp. Chắc chắn sẽ ở tại Sunset nếu có dịp đến với Phú Quốc	Trải nghiệm tuyệt vời khi lần đầu đến với phú quốc, mình được free upgrade với view cực kỳ đẹp, phòng đẹp tiện nghi đầy đủ, các bạn nhân viên ở đây cũng rất thân thiện	0	descriptor_miss_0/1
Q3	resort 5 sao sang trọng ở phú quốc	1000000452588	Mango Bay Resort	Phú Quốc	bm25,hybrid,vector	5	4	6	10.306848	22.251701	16.184428	Vợ chồng mình đã có kỳ nghỉ rất tuyệt với Mango Bay, nơi ở đúng như sở thích, nhà hàng với những món rất vừa miệng, nhân viên luôn vui vẻ. Chỉ có điều mình đến với Phú Quốc không đúng dịp nên chưa đi được nơi nào tham quan do mưa nhiều quá. Nhưng coi như là định mệnh để vợ chồng mình lại đến với Mango Bay lần nữa. Cảm ơn đội ngũ nhân viên rất nhiều	Phòng rất thoải mái, theo xu hướng eco resort, phòng tắm lộ thiên nên mình không thích lắm Bù lại Một trong những trải nghiệm xứng đáng nhất ở Phú Quốc: ăn tối - ngắm hoàng hôn ở nhà hàng On The Rock của Mango Bay Thức ăn ngon, nhâm nhi 1 ly cocktail 🍸 nhưng lại say vì cảnh biển quá đẹp trước mắt. Không hề ồn ào, tưởng tượng chỉ có mình và tiếng sóng vỗ thôi. Trời đẹp quá nên chỉ muốn up ảnh gốc :)), không thèm chỉnh gì nữa :)))) Dù buổi tối có mưa phải dời bàn vào trong nhưng có được chiếc view này khi ăn đã quá mãn nhãn ròi ☺️.	Mình và em gái đã xem và đọc rất nhiều review về Mango bay trước khi đưa cả gia đình tới đây. Vấn đề lớn nhất chắc là muỗi và côn trùng tuy nhiên cả nhà mình đều không bị muỗi đốt và đêm ngủ ngon không ngứa ngáy gì cả. Đối với các bạn du lịch hiện đại thì chắc là sẽ không hợp và thấy không xứng với giá tiền, mỗi người có quan điểm và mong muốn trải nghiệm riêng nên mình chỉ chia sẻ trên quan điểm của mình. Mango bay là nơi đáng quay lại, nhân viên dễ thương, thân thiện. Thật sự đến đây chỉ cần nằm ở resort chơi, tận hưởng không khí trong lành là mãn nguyện rồi. Tuy nhiên mình hi vọng resort sẽ đa dạng hoá menu hơn, đồ ăn cũng không có gì đặc sắc lắm và ít lựa chọn quá. Ở đây nhiều cây nên đỡ nóng và dễ chịu hơn resort mình từng ở Phú Quốc trước đó nhiều. Rất chilllllll	0	descriptor_miss_0/1
Q3	resort 5 sao sang trọng ở phú quốc	9000000802066	Sonaga Beach Resort & Villas Phu Quoc	Phú Quốc	bm25,hybrid,vector	7	6	7	9.226750	19.193024	15.131282	không phải chuẩn 5 sao như movenpick	Chưa xứng đáng với resort 5*, phòng hơi cũ, k đc sạch sẽ, buffet sáng ko nhiều món, đồ ăn cũng k ngon, ko đc refill thường xuyên	Khách sạn mất nước, lúc có nước thì màu đục không tắm được	0	descriptor_miss_0/1
