bucket_id,query_id,query,hotel_id,hotel_name,hotel_location,bm25_rank,vector_rank,hybrid_rank,top_review_1,top_review_2,top_review_3,relevant
bucket_1_short,Q001,khách sạn 5 sao,3000020011694,Orchide'es Ocean Hotel,Thành Phố Đà Nẵng,,5,,"Khen bộ phận nhân viên của khách sạn: Tác phong gọn gàng, phục vụ mau lẹ, thái độ làm việc có trách nhiệm, giọng điệu nói chuyện dễ nghe, lịch sự. Khen dịch vụ phòng ốc của khách sạn: Sạch sẽ, tươm tấ","Phòng khá ổn trong tầm giá, nếu có thêm nước rửa tay trong nhà tắm sẽ ok hơn","Khách sạn chưa vệ sinh sạch, vẫn còn nhiều ẩm mốc. Nhân viên không nhiệt tình",
bucket_1_short,Q001,khách sạn 5 sao,1000000513103,Vanda Hotel,Thành Phố Đà Nẵng,,6,,"Nhân viên nhiệt tình, thân thiện, khách sạn sạch sẽ","Tôi đã có trải nghiệm 5 ngày tại khách sạn. Tôi không hài lòng với việc Khách sạn 2 ngày dọn phòng 1 lần, chỉ thay khăn k quét dọn (tiền tip dọn phòng vẫn nhận)","Ở đây phải nói nên chấm 100/10 vị trí đẹp view phòng đẹp, sạch sẽ, buffet sáng ăn ngon, tiện ích và tiện lợi xung quanh cực tốt. Xứng đáng là điểm đến nên quay lại cư trú khi đến Đà Nẵng",
bucket_1_short,Q001,khách sạn 5 sao,1000000438223,Pullman Saigon Centre,TP Hồ Chí Minh,1,,3,Thật là tệ khi mà Pullman làm việc thiếu chuyên nghiệp cũng như là rất nhiều vấn đề tồi tệ. Trước tiên khi mới tới tôi hỏi chỗ đỗ xe ở đâu thì không ai trả lời mà bơ đi. Sau đó là về việc tôi đã book ,"Dịch vụ tốt , gần những nơi mình cần đến",Nhân viên Pullman rất nice và nhiệt tình,
bucket_1_short,Q001,khách sạn 5 sao,3000020021002,Muong Thanh Luxury Vien Trieu Nha Trang,Khánh Hòa,3,,2,"Đồ ăn sáng hơi sơ sài , ít món .","So với các khách sạn cùng hệ thống Mường Thanh mà tôi từng trải nghiệm, cơ sở này thực sự tôi không đánh giá cao. Khả năng cách âm kém: tôi có thể nghe rõ tiếng xả nước và tiếng tivi từ phòng kế bên, ",Cũng ok so với giá phòng tại Nha Trang,
bucket_1_short,Q001,khách sạn 5 sao,9000001072275,HAKU Boutique Hotel,Bình Định,7,,7,"Quá tệ!. Máy sấy hư, mình có nhờ đổi thì kêu hết máy, chờ đi sửa, lần sau mình hỏi lại thì kêu chưa đi sửa, để ngày mai. Không có chỗ để xe, để tụi mình tự sắp xếp, rồi còn hỏi ngược lại mai ai dắt xe",tốt! khách sạn gần chỗ tắm biển! nhân viên hỗ trợ nhiệt tình,Nhân viên hỗ trợ nhiệt tình! Thuận tiện đi lại và gần biển,
bucket_1_short,Q001,khách sạn 5 sao,9000000831710,DeLaSea Ha Long Hotel,Hạ Long,5,,5,"khách nhà mình rất thích khách sạn này, sạch sẽ, đẹp, view biển.",Nhân viên nhiệt tình thân thiện,"Vị trí khách sạn hơi xa biển; tuy nhiên vẫn có nhìn thấy biển nếu ở tầng cao
Phục vụ thì ko được tốt lắm, khá tệ
Khách sạn không chịu xuất hoá đơn VAT cho khách lưu trú & traveloka cũng ko xuất",
bucket_1_short,Q001,khách sạn 5 sao,3000020014709,Thanh Mai Hotel,Buôn Ma Thuột,,4,,"Phòng ốc sạch sẽ, đồ ăn sáng ngon","Bề ngoài khách sạn nhìn bình thường nhưng bên trong rộng rãi bất ngờ nha. Khách sạn mới, đẹp, hiện đại. Hồ bơi trong nhà nhưng không có điều chỉnh nhiệt độ nước nên lạnh. Đồ ăn sáng ngon, đa dạng.","Khách sạn sạch sẽ , nhân viên nhiệt tình",
bucket_1_short,Q002,resort biển,9000001015136,Pax Ana Doc Let Resort & Spa,Khánh Hòa,1,,3,"Tôi đã phải viết lại cảm nhận bằng bằng chì về trải nghiệm của bản thân ở đó
Quá tuyệt vời","Nhân viên nhiệt tình, niềm nở và hỗ trợ tốt.
Phòng sạch sẽ, mùi sả thư giãn, thoải mái.
Đồ ăn ok, quán cafe view biển rất chill.
Không khí trong lành, nhiều cây xanh, thoáng mát.","Một nơi nghỉ dưỡng bình yên xinh đẹp, nhân viên từ lễ tân đến phục vụ, lái xe đều nhiệt tình dễ mến, các dịch vụ và tiện ích đều rất tốt!",
bucket_1_short,Q002,resort biển,1000000561614,Swiss-Belresort Tuyen Lam Dalat,Lâm Đồng,,10,,"Mọi thứ tuyệt vời. Riêng  có đường đi vào buổi tối vào khách sạn rất tối, nếu thuê xe máy tự đi chơi như hai đứa mình thì thấy về buổi tối khá nguy hiểm. Đồ ăn sáng khá ít món so với rs khác. 
View đẹ","Chuyến đi tuyệt vời, sẽ lựa chọn lại resort lần sau","Đồ ăn tại nhà hàng ko ngon , món bò lúc lắc quá dai , tôi ăn ko cảm thấy ngon",
bucket_1_short,Q002,resort biển,1000000444804,Aroma Beach Resort & Spa,Phan Thiết,10,,8,"Một nơi đáng để trải nghiệm, các bạn nhân viên siêu dễ thương và nhiệt tình. Phòng khá đẹp và sạch sẽ. Bỏ qua đánh giá GG đi, highly recommend!","View rất xinh , nhân viên thân thiện","Nhân viên cực kì thân thiện, quản lý cũng rất dễ thương, không khí dễ chịu, view rất đẹp",
bucket_1_short,Q002,resort biển,1000000473666,Seava Ho Tram Beach Resort,Vũng Tàu,7,4,1,"Resort có không gian yên tĩnh, nhiều cây xanh, phù hợp với gia đình. Phòng ốc tiện nghi và sạch sẽ. Tất cả nhân viên đều rất nhiệt tình và thân thiện. Tiếc là đồ ăn chưa được ngon lắm (ví dụ như vị củ","Một nơi thoáng đãng với rất nhiều cây xanh rợp bóng mát, thật tuyệt vời khi có những ngày nghỉ ở đây. Nhiều lựa chọn thú vị : chèo thuyền hay đi dạo hoặc trải nghiệm dưới bóng cây khu bãi biển. Nhất đ","Nhân viên thân thiện, nhiệt tình, phòng sạch sẽ",
bucket_1_short,Q002,resort biển,3000020005429,Crown Retreat Quy Nhon Resort,Bình Định,5,,6,"Nhân viên thân thiện, nhiệt tình. Nơi ở gần gũi thiên nhiên, đêm nằm nghe tiếng sóng ngủ rất ngon.","Resort yên tĩnh, thích hợp để nghỉ dưỡng","Một chiếc resort nhỏ xinh sát biển nhưng vẫn nhiều cây xanh, biển rất đẹp sạch và yên tĩnh lắm , nhân viên phục vụ bản địa thật thà..nhà hàng trong resort nhỏ ít món nhưng nấu ngon tưoi như cơm nhà,hã",
bucket_1_short,Q002,resort biển,9000001133413,TMS Quy Nhon - Lee Xinh,Bình Định,,3,10,"Thân thiện, nhiệt tình, chu đáo, gần biển, view đẹp",Phong đẹp thich hợp để ngắm biển,"Toà nhà chung với khách sạn Grand Hyam Hotel (sảnh riêng đi ra phía sau), phòng ốc sạch sẽ, đầy đủ tiện nghi (không có bát đũa nhưng mình hỏi thì nếu cần thì các bạn ý sẽ mang lên, mà bận đi chơi quá ",
bucket_1_short,Q002,resort biển,9000000974951,Khách sạn Cosini Côn Đảo,Côn Đảo,,8,,"Phòng sạch sẽ, mình đi 1 mình rất phù hợp. Vị trí trung tâm. Gần các quán ăn địa phương và chợ đêm. Thuận lợi về tất cả nhu cầu của mình","Nhân viên nhiệt tình, vui vẻ, hướng dẫn và hỗ trợ các yêu cầu của khách hàng tốt",Quản lý khách sạn nhiệt tình vui vẻ,
bucket_1_short,Q002,resort biển,3000010038086,Hon Co Resort - Ca Na,Ninh Thuận,9,,2,"Rất đáng để đi cuối tuần , biển xanh, resort đẹp nhưng đi tháng 12 thì hơi lạnh tối và gió mạnh nhưng mát nha. Điểm trừ là đồ ăn trong này hơi mắc và rất khó thuê xe máy. Ưu tiên đi taxi hơn",quá đẹp quá sạch sẽ thân thiện vs khách vô cùng,"mọi thứ đều ok, mình đi ngày thường nên hơi vắng
nhân viên nhiệt tình",
bucket_1_short,Q002,resort biển,1000000626112,SOL by Melia Phu Quoc,Phú Quốc,,7,,"Đây là một điểm đến tuyệt vời, dịch vụ rất tốt. Khoảng cách đến các địa điểm vui chơi và sân bay rất thuận tiện","rất đẹp
biển cũng đẹp 
nhân viên nhiệt tình","Phòng sạch sẽ, nhân viên thân thiện, view đẹp, thức ăn hợp khẩu vị - Mình sẽ ghé lại lần sau",
bucket_1_short,Q002,resort biển,1000000491765,Rang Garden Beach Side Resort,Phan Thiết,3,,4,"Khách sạn tuyệt vời nhé, trừ vấn đề cách âm không được tốt lắm. Nhân viên siêu dễ thương. Hồ bơi sạch sẽ. Lý tưởng để nghỉ dưỡng cuối tuần cùng gia đình.","khách sạn có vị trí đẹp, kế bên biển nhưng không có bãi bơi, có thêm bãi bơi sẽ rất tuyệt vời. về ăn uống xung quanh nhiều quán ăn nhà hàng ngon rẻ, nhưng hình như nhiều hàng quán đóng cửa nhìn có vẻ ","Mọi thứ ok, vị trí gần biển, nhưng phòng hơi cũ",
bucket_1_short,Q002,resort biển,1000000541688,The Coast Hotel Vung Tau,Vũng Tàu,,9,,"Phòng hơi cũ, hơi bụi bám trên bàn và remote
Phòng cách âm ko tốt","Khách sạn xây dựng lâu năm nhưng cách âm rất tốt. Lau dọn cũng 7-8đ, duy nhất cái quyết định của khách là khách sạn sạch hay không là từ cái khăn tắm. Ga gối  có sạch hay không thì the coast lại bị lỗ","Dịch vụ tốt, chăm sóc khách hàng tận tình.",
bucket_1_short,Q002,resort biển,9000000370592,Tuan Chau Resort Ha Long,Hạ Long,6,,5,"Gần biển, nhân viên thân thiện và nhiệt tình. Nhà hàng ở tầng 2 khá ngon","chất lượng bình thường, ăn sáng sơ xài không như quảng cáo","Không gian đẹp, không khí trong lành. Giá cả vừa phải. Lsau đến Hạ Long mình vẫn sẽ ghé Tuần Châu resort",
bucket_1_short,Q002,resort biển,3000020018720,The Pearl Hoi An,Hội An,,1,9,"Nhân viên rất nice và thân thiện nhưng cơ sở vật chất rất tệ. Cách âm cực kỳ tệ. Ai đi ngoài hành lang cũng nghe rất rõ, không thể ngủ được. Phòng trên tầng lạch cạch nghe cũng rất rõ. Cách âm tệ hơn ","Khách sạn 5 sao thua khách sạn 3 sao, buffer tối giá 400k quá tệ. nói chung thất vọng, đi 1 lần không muốn quay lại","3 năm liên tiếp, năm nào cũng vẫn quay lại đây, vì sự rộng rãi, thoáng mát của khu nghỉ, nếu có dịp vẫn sẽ quay lại và lưu trú tiếp tại đây",
bucket_1_short,Q002,resort biển,9000000831710,DeLaSea Ha Long Hotel,Hạ Long,,5,,"khách nhà mình rất thích khách sạn này, sạch sẽ, đẹp, view biển.",Nhân viên nhiệt tình thân thiện,"Vị trí khách sạn hơi xa biển; tuy nhiên vẫn có nhìn thấy biển nếu ở tầng cao
Phục vụ thì ko được tốt lắm, khá tệ
Khách sạn không chịu xuất hoá đơn VAT cho khách lưu trú & traveloka cũng ko xuất",
bucket_1_short,Q002,resort biển,1000000327238,Romana Resort & Spa,Phan Thiết,8,,7,"Mình cũng đắn đo mãi khi viết những dòng này. Ngày 10/1 vừa rồi mình có đặt phòng cho người quen của mình nghỉ tại đây, 3 phòng. Chiều hôm đó sau khi checkin thì anh mình có đi tắm biển, không may bị ","Đã ở đây nhiều lần rồi nhưng lần nào cũng ưng, tất cả nhân viên đều nhiệt tình thân thiện.","Biển đẹp_sạch, phòng nhìn ra biển được",
bucket_1_short,Q002,resort biển,3000020002678,Melissa Hotel Nha Trang,Khánh Hòa,,6,,"Không gian nhỏ, đồ ăn ko đa dạng nhưng với giá như vậy thì ko thể yêu cầu cao hơn. Nói chung tạm ổn","Phòng rộng, giường lớn view biển, đồ ăn menu thay đổi theo ngày, rất hài lòng khi ở đây 5 ngày","Nhân viên thân thiện, nhiệt tình. Có điều khách sạn đã được xây từ khá lâu nên khoản cách âm rất kém. Kể cả người đi lại ngoài ban công hoặc phòng bên kéo ghế, nói chuyện to đều nghe thấy hết. Bữa ăn ",
bucket_1_short,Q003,homestay giá rẻ,9000001071485,Milan Homestay - The Song Vung Tau,Vũng Tàu,10,,2,"Phòng ổn ạ, 4 đứa tụi mình rất thích nheee, vị trí cũng tiện để di chuyển ạaa",Gia đình mình rất thích căn hộ lần này,"Phòng decor sơ sài trông rất chán, không hề giống như book ảnh trên app rất thất vọng, tiện nghi đồ bếp cũng không đầy đủ cho khách, dép mang trong phòng cũng chỉ có 1 đôi là thấy thiếu sự tinh tế vãi",
bucket_1_short,Q003,homestay giá rẻ,3000010023795,Senkotel Nha Trang Managed by NEST Group,Khánh Hòa,,5,,"Lần nào về công tác tại Nha Trang, tôi đều đặt phòng nghỉ tại Khách sạn Senkotel. Phòng nghỉ ở đây rất sạch sẽ, tiện nghi; giá phòng phải chăng, phù hợp cho nhiều người có thể đến nghỉ và thăm quan Nh",Vị trí thuận lợi. Rất thuận tiện đi lại. Nhân viên nhiệt tình,Rất ok luôn. Sẽ còn quay lại. Giá cả hợp lí,
bucket_1_short,Q003,homestay giá rẻ,9000001099736,Xuan Homestay - The Song Vung Tau,Vũng Tàu,8,,8,"Nhân viên dễ thương đáng yêu, không gian mát mẻ, phòng sạch sẽ tiện lợi <3",Các bạn muốn ở The Sóng cứ đến hẳn chung cư và book trực tiếp các văn phòng ở tầng trệt có nhiều dịch vụ mô giới và giá rẻ hơn rất nhiều. Hoặc với giá này thì book hotel Santorini giá chỉ 1 triệu/phòn,"Trải nghiệm rất ok, chị nv nhiệt tình. 10điểm",
bucket_1_short,Q003,homestay giá rẻ,9000001152540,Mien Suong Khoi - Home & Cafe,Lâm Đồng,,6,,"Phòng đẹp và sạch sẽ, có sân thượng và ngắm cảnh rất chill","Vị trí vào home khá dốc, thấy hơi sợ khi lái ôtô vào. Trong phòng không có bàn chải, kem đánh răng kèm các amentinis thông thường. Phòng mái nên hơi thấp, gác thấp và cầu thang dốc, leo lên xuống hơi ",Homestay rất chill. Nằm gần thị trấn Nobi và nhiều cafe nổi tiếng. Nên thử Bò Tơ Dã Chiến 116 Hùng Vương,
bucket_1_short,Q003,homestay giá rẻ,9000001099844,Chau Homestay - The Song Vung Tau,Vũng Tàu,2,,5,Lần đầu ở bên Chau Homestay thấy mọi thứ ok. Sạch sẽ. Cũng có dụng cụ tiện ích,"Vị trí thì ok nhưng chờ thang máy cực kỳ lâu. Phòng thì tạm ổn nhưng ga giường và mền ko sạch, có mùi. Thùng rác thì dạng thùng rác tròn nhựa ko nắp nên nhìn mất vệ sinh lắm. Toilet cho đúng 1 cuộn gi",Thang máy hơi lâu  còn lại phòng rát oki,
bucket_1_short,Q003,homestay giá rẻ,9000001135813,Leu Vit Homestay,TP Hải Phòng,4,,6,"phòng sạch sẽ, không gian cực chill",Trừ chuyện wifi tầng 1 yếu thì mọi thứ rất ok,"Ok. sạch sẽ, không gian rộng rãi, bài trí sáng sủa",
bucket_1_short,Q003,homestay giá rẻ,3000010043078,Little View Homestay,Sa Pa,,7,,"AC chủ thân thiện, nhiệt tình. Gần khu trung tâm. Lần sau sẽ quay lại",Nhân viên nhiệt tình bà chủ vui tính,"chị chủ nhà nhiệt tình, phòng sạch sẽ",
bucket_1_short,Q003,homestay giá rẻ,9000001136478,Sóng Homestay - The Sóng Vũng Tàu,Vũng Tàu,9,,1,"Ok, phòng phù hợp với giá cả ạ, tiện ích","Mấy bạn nhân viên oke, phòng ốc sạch sẽ. Nhưng điểm trừ là đợi thang máy siêu lâu","Phòng đẹp, sạch sẽ, mấy chị siu siu dễ thương luôn, hỗ trợ khách hàng tốt. Lần đầu đi nên hơi bỡ ngỡ",
bucket_1_short,Q003,homestay giá rẻ,4000001082146,Cozrum Homes - Sonata Residence,TP Hồ Chí Minh,,2,10,"Phòng sạch, nhân viên thân thiện.",phòng chia làm 2 bên. 1 bên cũ 1 bên mới. đặt trên app toàn cho sang bên cũ. tối kiến bò ngay trên đầu giường. rất nhiều kiến. nhân viên không thân thiện lắm.,"Chỗ ở đẹp , phòng ốc hơi hanh chế nhưng bù lại các bạn nhân viên ở đấy siêu dễ thương nhiệt tình , phòng có hơi cũ nên được các bạn upgrade miễn phí 100đ",
bucket_1_short,Q003,homestay giá rẻ,9000000803443,My Dream Hotel Sapa,Sa Pa,,4,,Ai thuê phòng và xe ở đây nhớ check kĩ và chụp lại nhé. Tránh tiền mất tật mang!,Phòng bị ẩm và bí (tôi nghĩ là do trời mưa và phòng nhỏ),"Ông bà chủ rất nhiệt tình, thân thiện, vị trí thuận tiện gần chợ sapa, quảng trường và nhà thờ đá, sunplaza, có thể đi bộ. Phòng rất sạch sẽ, giá rẻ 100 điểm<3",
bucket_1_short,Q003,homestay giá rẻ,9000001296766,One Million Homestay,Lâm Đồng,,9,,"Anh chủ rất vui tính, hỗ trợ check in phòng hết mình, vị trí cũng thuận lợi để di chuyển nhiều địa điểm","Homestay có view đẹp, nội thất tiện nghi, gần trung tâm rất dễ di chuyển. Hơn nữa, cô dọn phòng cũng rất dễ thương nữa.","Phòng đẹp, sạch sẽ, thơm tho, anh chủ dễ thương, nhiệt tình. Sẽ ở đây nếu có du lịch Đà Lạt.",
bucket_1_short,Q003,homestay giá rẻ,1000000910037,Phuong Dong Hotel & Apartment,Bình Định,,10,3,"Tất cả đều ổn, vượt ngoài mong đợi với giá tiền","Nhân viên thân thiện, chỉ có chỗ đậu xe nhỏ và wifi yếu",Quá rẻ mà quá ok. Không có gì để chê. Tuyệt vời.,
bucket_1_short,Q003,homestay giá rẻ,3000010039953,Hoi An Viet House Homestay,Hội An,1,,4,"Sạch sẽ, giá cả phải chăng, nên đặt trên app sẽ rẻ hơn ở ngoài rất nhiều","Cô chú rất dễ thương, nhiệt tình; Mình book một phòng gia đình là hai phòng đập thông tổng 4 giường, có ban công thông nhau. Homestay ở rất gần phố cổ Hội An chỉ cần đi bộ vài trăm mét là tới. Ủng hộ ",Nhân viên phục vụ hách dịch. Cư xử thô lỗ . Thiếu tôn trọng khách . Giao phòng không đúng như lúc booking . Hi vọng mọi người sẻ không như trường hợp của mình,
bucket_1_short,Q003,homestay giá rẻ,9000002314116,Havilla Homestay -  The Song Apartment Vung Tau,Vũng Tàu,5,,7,"Dịch vụ rất tốt, sạch sẽ. Chị chủ rất nhiệt tình và thân thiện, lần sau quay lại vẫn sẽ book dịch vụ ở đây và sẽ giới thiệu thêm bạn bè nữa.","Chỗ okiiiii, rất ổn nha không như lời đồn nên ở","Phòng rất đẹp ạ,siêu tiện ích,sạch sẽ",
bucket_1_short,Q003,homestay giá rẻ,9000007728039,Bika Hostel & Dorm,Lâm Đồng,,1,9,"Siêu recommend mọi người ở homestay này nếu như nhu cầu không cao giống như mình, chủ homestay siêu dễ thương và dễ chịu. Nhược điểm là giá rất rẻ nên phòng sẽ không có cách âm đâu nha, nhưng rất ổn t",,,
bucket_1_short,Q003,homestay giá rẻ,9000000949906,D House Dalat,Lâm Đồng,,8,,phải nói là quá thất vọng,"Giá cả hợp lý. Mình ở 3 đêm. Quản gia dễ thương. Nói chung là yên tĩnh không ai làm phiền hay ồn ào gì cả. Trải nghiệm 4,95/5","Phòng đẹp như hình, rất sạch sẽ, không gian thoải mái, nhân viên thân thiện nhiệt tình, gần khách sạn có rất nhiều quán cà phê sẵn mây đẹp",
bucket_1_short,Q004,villa hồ bơi,9000000416386,RHM Luxury Hotel And Suite,Thành Phố Đà Nẵng,,9,,"View đẹp, thuận tiện, mọi thứ okela. Nhân viên dễ thương","Oke, gần khu ẩm thực, thích hợp du lịch","Phòng có kiến bò vào từ ban công, đèn toilet còn đúng 1 bóng, dụng cụ vệ sinh cá nhân không dám sử dụng! Mình book cận ngày nhưng với giá hơn 3 triệu cho 1 đêm thì rất tệ so với giá tiền.",
bucket_1_short,Q004,villa hồ bơi,1000000457879,Muong Thanh Luxury Song Lam,Nghệ An,,3,,"Nhân viên không nhiệt tình, thờ ơ, đang ăn sáng thì mấy bạn nhân viên đã tất bật dọn rất ồn ào","Mình có công việc ở Vinh và dẫn ba mình đi chơi, nghỉ ngơi ở Khách sạn Mường Thanh ở đây, dịch vụ rất tuyệt, có gì gọi lễ tân là bao nhanh. Tuy chưa được nếm đồ ăn sáng ở đây nhưng điểm 10 chất lượng","khách sạn xuống cấp trầm trọng , bát nháo ồn ào",
bucket_1_short,Q004,villa hồ bơi,1000000536172,FLC Luxury Hotel Samson,Thanh Hóa,,5,,"Khu nghỉ dưỡng khá là ok. Rộng rãi, bể bơi cũng rộng và sạch đẹp. Tuy nhiên phòng thì một số đồ hơi cũ có dấu hiệu hỏng hóc. Chưa có thang máy nên đi bộ lên tầng 4 nhiều khi còn bất tiện","Sảnh Luxury không có mái che, đèn phòng tối, giá cả và định lượng đồ phục vụ tại phòng không được như những FLC khác",Tất cả đều ổn ngoại trừ sự đa dạng của buffet sáng,
bucket_1_short,Q004,villa hồ bơi,3000010031360,Maxhome Luxury Hotel,Thành Phố Đà Nẵng,,8,,"phòng sạch sẽ. thơm tho. view đẹp.  lễ tân thoải mái. nhiệt tình. chuẩn ks 4 sao
Trong phòng nên có thêm cái ghế dựa lưng cho khách ngồi.","Đã ở 1 tuần. 3 ngày đầu ở p6*** ok (nước nóng xài đc 1 ngày đầu). 3 ngày sau dời phòng khác thì ko thấy dọn phòng nữa. Ko cho kem đánh răng (Nhưng ko sao, nêu yêu cầu chắc đc). Bù lại nvien rất nhiệt ","Nhân viên nhiệt tình, thân thiện. Phòng sạch sẽ, thoáng mát. Khách sạn gần bãi biển nên tiện di chuyển",
bucket_1_short,Q004,villa hồ bơi,9000005699879,Oceanami Villas & Beach Club,Vũng Tàu,9,,7,"Không xứng đáng 5 sao, chỉ nên để 3 sao. Vị trí tốt, thiết kế quy hoạch ổn, nhưng mà phòng thiếu nhiều tiện nghi, vệ sinh không sạch, dịch vụ tiếp tân cũng không ổn. Tóm lại do ban quản lý kém.","Nhân viên thân thiện, hồ bơi rộng-đẹp-sạch, đồ ăn ở Maison rất ngon. Điểm trừ duy nhất là cục nóng máy lạnh lắp cạnh phòng nên chạy khá ồn.",Bực bội thái độ làm việc ở đây ghê! Có em bé trời mưa mạnh xe điện chạy ngoắc chẳng thèm đón để em bé ướt nhèm mà coi dc! Gọi trả phòng 3 lần - không chiếc xe nào chạy ra đón,
